GENESIS-Tabelle: 12711-0001
Gesamtwanderungen über die Grenzen der Bundesländer: Deutschland, Jahre, Nationalität, Geschlecht;;;;;;;;;
Wanderungsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;42051;38610;80661;18985;67469;86454;61036;106079;167115
2001;44415;42583;86998;80770;107990;188760;125185;150573;275758
2002;34702;31868;66570;45833;106942;152775;80535;138810;219345
2003;19412;20539;39951;28035;74662;102697;47447;95201;142648
2004;15347;11979;27326;3892;51326;55218;19239;63305;82544
2005;-9443;-7320;-16763;30799;64918;95717;21356;57598;78954
2006;-27454;-24448;-51902;26965;47728;74693;-489;23280;22791
2007;-28671;-26419;-55090;40205;58798;99003;11534;32379;43913
2008;-34248;-32167;-66415;-9326;20017;10691;-43574;-12150;-55724
2009;-18180;-22075;-40255;-68;27610;27542;-18248;5535;-12713
2010;-10961;-15126;-26087;80093;73862;153955;69132;58736;127868
2011;-9725;-13803;-23528;170199;132659;302858;160474;118856;279330
2012;-7150;-11054;-18204;215629;171520;387149;208479;160466;368945
2013;-9648;-12209;-21857;249452;201012;450464;239804;188803;428607
2014;-13236;-13205;-26441;325875;251049;576924;312639;237844;550483
2015;-8518;-9042;-17560;740942;416020;1156962;732424;406978;1139402
2016;-92491;-42940;-135431;341028;294196;635224;248537;251256;499793
2017;-54911;-27567;-82478;253439;245119;498558;198528;217552;416080
2018;-38729;-21591;-60320;230142;229858;460000;191413;208267;399680
2019;-35036;-22589;-57625;182957;201728;384685;147921;179139;327060
2020;-17984;-10372;-28356;114579;134028;248607;96595;123656;220251
__________
© Statistisches Bundesamt (Destatis), 2021
Stand: 03.10.2021 / 14:10:02
